type;datetime;itemcallnumber;title;subjects
issue;"2012-05-29 13:59:06";HV8143.S86;"Opportunities in law enforcement and criminal justice careers /";"Police Vocational guidance United States. Law enforcement Vocational guidance United States. Criminal justice, Administration of Vocational guidance United States. Police. Law enforcement Vocational guidance. Administration of criminal justice Vocational guidance."
issue;"2012-06-01 08:16:26";"RA441.O83 2005";"Finding work in global health :";"World health Vocational guidance. Vocational guidance. Employment in foreign countries. World Health. Vocational Guidance. Employment. Internationality."
issue;"2012-06-04 10:50:38";"HF5382.75.U6.B755 2010";"You majored in what? :";"College graduates Employment United States. College majors United States. Employment interviewing United States. Job hunting United States."
issue;"2012-07-11 09:32:01";"HD6051.1.HF5381 2003";"Career guide and directory for immigrant professionals /";"Vocational guidance United States Handbooks, manuals, etc. Minorities Vocational guidance Handbooks, manuals, etc. Foreign workers Handbooks, manuals, etc."
issue;"2012-07-11 09:59:09";"HF5381.PN147 2005";"Six-figure freelancing :";"Authorship Handbooks, manuals, etc. Freelance journalism Handbooks, manuals, etc."
issue;"2012-07-11 10:06:15";"HF5381.PN147 2005";"Six-figure freelancing :";"Authorship Handbooks, manuals, etc. Freelance journalism Handbooks, manuals, etc."
issue;"2012-07-11 10:08:36";"HF5381.PN147 2005";"Six-figure freelancing :";"Authorship Handbooks, manuals, etc. Freelance journalism Handbooks, manuals, etc."
issue;"2012-07-13 14:48:09";"HF5381.PN147 2005";"Six-figure freelancing :";"Authorship Handbooks, manuals, etc. Freelance journalism Handbooks, manuals, etc."
localuse;"2012-07-13 14:52:42";"HF5381.PN147 2005";"Six-figure freelancing :";"Authorship Handbooks, manuals, etc. Freelance journalism Handbooks, manuals, etc."
localuse;"2012-07-13 14:57:00";"HF5381.LB2300 2007";"Transitions : a guide for the transfer student /";"College students United States. College students United States Conduct of life."
issue;"2012-08-03 13:21:23";"HF5381 .P747";"Why to Major in English If You're Not Going to Teach.";
issue;"2012-08-03 13:21:31";"HF5381.P324.LC1021 2002";"Keys to liberal arts success /";"Education, Humanistic. College student orientation. Study skills."
issue;"2012-08-03 13:21:54";"HD2770.15.LC1072 2006";"The intern files :";"Internship programs. Interns."
issue;"2012-08-20 09:00:47";"HF5381.P324.LC1021 2002";"Keys to liberal arts success /";"Education, Humanistic. College student orientation. Study skills."
issue;"2012-08-20 09:01:08";"HD2770.15.LC1072 2006";"The intern files :";"Internship programs. Interns."
